conversation_id	turn_id	id	query	original
31	1	31_1	What is throat cancer?	What is throat cancer?
31	2	31_2	Is throat cancer treatable?	Is it treatable?
31	3	31_3	Tell me about lung cancer.	Tell me about lung cancer.
31	4	31_4	What are the symptoms of lung cancer?	What are its symptoms? 
31	5	31_5	Can lung cancer spread to the throat?	Can it spread to the throat?
31	6	31_6	What causes throat cancer?	What causes throat cancer?
31	7	31_7	What is the first sign of throat cancer?	What is the first sign of it?
31	8	31_8	Is throat cancer the same as esophageal cancer?	Is it the same as esophageal cancer?
31	9	31_9	What's the difference between throat cancer and esophageal cancer?	What's the difference in their symptoms?
32	1	32_1	What are the different types of sharks?	What are the different types of sharks?
32	2	32_2	Are sharks endangered?	Are sharks endangered?  If so, which species?
32	3	32_3	Tell me more about tiger sharks.	Tell me more about tiger sharks.
32	4	32_4	What is the largest ever shark to have lived on Earth?	What is the largest ever to have lived on Earth?
32	5	32_5	What's the biggest ever caught?	What's the biggest ever caught?
32	6	32_6	What about for great whites?	What about for great whites?
32	7	32_7	Tell me about makos.	Tell me about makos.
32	8	32_8	What are makos' adaptations?	What are their adaptations?
32	9	32_9	Where do makos live?	Where do they live?
32	10	32_10	What do sharks eat?	What do they eat?
32	11	32_11	How do sharks compare with tigers for being dangerous?	How do they compare with tigers for being dangerous?
33	1	33_1	Tell me about the Neverending Story film.	Tell me about the Neverending Story film.
33	2	33_2	What is the Neverending Story film about?	What is it about?
33	3	33_3	How was the Neverending Story film received?	How was it received?
33	4	33_4	Did the Neverending Story film win any awards?	Did it win any awards?
33	5	33_5	Was the Neverending Story a book first?	Was it a book first?
33	6	33_6	Who was the author of the Neverending Story film and when what it published?	Who was the author and when what it published?
33	7	33_7	What are the main themes in the Neverending Story film?	What are the main themes?
33	8	33_8	Who are the main characters of the Neverending Story film?	Who are the main characters?
33	9	33_9	What are the differences between the book and movies?	What are the differences between the book and movies?
33	10	33_10	Did the horse Artax really die?	Did the horse Artax really die?
34	1	34_1	Tell me about the Bronze Age collapse.	Tell me about the Bronze Age collapse.
34	2	34_2	What is the evidence for the Bronze Age collapse?	What is the evidence for it?
34	3	34_3	What are some of the possible causes of the Bronze Age collapse?	What are some of the possible causes?
34	4	34_4	Who were the Sea Peoples?	Who were the Sea Peoples?
34	5	34_5	What was the role of the Sea Peoples in the Bronze Age collapse?	What was their role in it?
34	6	34_6	What other factors led to a breakdown of trade in the Bronze Age?	What other factors led to a breakdown of trade?
34	7	34_7	What about environmental factors in the Bronze Age collapse?	What about environmental factors?
34	8	34_8	What empires survived the Bronze Age collapse?	What empires survived?
34	9	34_9	What came after the Bronze Age collapse?	What came after it?
35	1	35_1	Tell me about the history of toilets.	Tell me about the history of toilets.
35	2	35_2	Where does the term toilet come from?	Where does the term come from?
35	3	35_3	Where and when was the first invented toilet?	Where and when was the first invented?
35	4	35_4	Why do the Brits call a toilet a loo?	Why do the Brits call it a loo?
35	5	35_5	What came before the Brits?	What came before them?
35	6	35_6	When did indoor versions of toilets become common?	When did indoor versions become common?
35	7	35_7	How many types of toilets are there?	How many types are there?
35	8	35_8	Why are indoor toilets so important for society?	Why are they so important for society?
35	9	35_9	What is the role of indoor toilets in film?	What is their role in film?
36	1	36_1	What is the US Electoral College?	What is the US Electoral College?
36	2	36_2	How does the US Electoral College work?	How does it work?
36	3	36_3	Tell me about the US Electoral College's creation.	Tell me about its creation.
36	4	36_4	Why was the system chosen for the US Electoral College?	Why was the system chosen?
36	5	36_5	How has the US Electoral College changed over time?	How has it changed over time?
36	6	36_6	What if the electors don't vote for the pledged candidate?	What if the electors don't vote for the pledged candidate?
36	7	36_7	How has the US Electoral College changed election outcomes?	How has this changed election outcomes?
36	8	36_8	Who are the Hamilton Electors and what were they trying to do?	Who are the Hamilton Electors and what were they trying to do?
