conversation_id	turn_id	id	query	original
81	1	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
81	2	81_2	When How did the garage door opener stopped working for door rests when closed?	Now it stopped working. Why?
81	3	81_3	How much does the primary safety mechanisms on your garage door and someone to fix it?	How much does it cost for someone to fix it?
81	4	81_4	How about replacing the broken garage door opener instead?	How about replacing it instead?
81	5	81_5	How do I choose a new one in faulty, the cost of the repair will increase?	How do I choose a new one?
81	6	81_6	What does a smart one do in replacing the horsepower should?	What does a smart one do?
81	7	81_7	What's important for me to know about safety for replacing your program range?	What's important for me to know about their safety?
81	8	81_8	How could not open the result of settings?	How could they be hacked?
82	1	82_1	I would like to learn about GMO Food labeling?	I would like to learn about GMO Food labeling.
82	2	82_2	What are the pros and talking over that what is in the food.	What are the pros and cons?
82	3	82_3	And what about the lot of the fight between GMO Food labeling?	And what about the cons?
82	4	82_4	What are the EU rules?	What are the EU rules?
82	5	82_5	Tell me more about traceability tools.	Tell me more about traceability tools.
82	6	82_6	What is the role of Co - Extra?	What is the role of Co-Extra?
82	7	82_7	How is testing done for contamination?	How is testing done for contamination?
82	8	82_8	What's the difference between the European and US approaches?	What's the difference between the European and US approaches?
82	9	82_9	How does the DNA - based method work?	How does the DNA-based method work?
82	10	82_10	How could Co - Extra improve the GMOs microarray s.?	How could Co-Extra improve it?
83	1	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?
83	2	83_2	Why doesn't the queen bee lives?	Why doesn't it spoil?
83	3	83_3	Why are so many dying after the queen in the microwave?	Why are so many dying?
83	4	83_4	What can be done to stop The in 4 colonies?	What can be done to stop it?
83	5	83_5	What has happened to habitat of bees?	What has happened to their habitat?
83	6	83_6	What can I do to help with the problem?	What can I do to help with the problem?
83	7	83_7	What is the cause of CCD?	What is the cause of CCD?
83	8	83_8	What would happen if Colony died out?	What would happen if they died out?
84	1	84_1	How does does seed investment work for startups?	How does seed investment work for startups?
84	2	84_2	Tell me more about angel rounds between the term seed funding?	Tell me more about angel rounds.
84	3	84_3	How does the B2B software compare with crowdfunding?	How does it compare with crowdfunding?
84	4	84_4	How much is a typical A series round?	How much is a typical A series round?
84	5	84_5	What are the risks of investing?	What are the risks of investing?
84	6	84_6	What are the different types of instruments used by VCs?	What are the different types of instruments used by VCs?
85	1	85_1	How much does a used Lamborghini cost?	How much does a used Lamborghini cost?
85	2	85_2	How does the hand cost compare to a Ferrari?	How does it compare to a Ferrari?
85	3	85_3	Interesting about a pimped - out food truck?	Interesting. What about for a pimped-out food truck?
85	4	85_4	What licenses and permits are needed?	What licenses and permits are needed?
85	5	85_5	What was a good location of Lamborghini?	What makes a good location?
85	6	85_6	What is a typical day like by a used location in Hygiene?	What is a typical day like?
