conversation_id	turn_id	id	query	original
81	1	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
81	2	81_2	Now my garage door opener stopped working. Why?	Now it stopped working. Why?
81	3	81_3	How much does it cost for someone to repair a garage door opener?	How much does it cost for someone to fix it?
81	4	81_4	How much does it cost to replace a garage door opener?	How about replacing it instead?
81	5	81_5	How do I choose a new garage door opener?	How do I choose a new one?
81	6	81_6	What does a smart garage door opener do?	What does a smart one do?
81	7	81_7	What's important for me to know about the safety of smart garage door openers?	What's important for me to know about their safety?
81	8	81_8	How could smart garage door openers be hacked?	How could they be hacked?
82	1	82_1	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.
82	2	82_2	What are the pros and cons of GMO food labeling?	What are the pros and cons?
82	3	82_3	What are the cons of GMO food labeling?	And what about the cons?
82	4	82_4	What are the GMO food labeling rules in the EU?	What are the EU rules?
82	5	82_5	Tell me about traceability tools for GMO foods in the EU.	Tell me more about traceability tools.
82	6	82_6	What is the role of Co-Extra in GMO food traceability in the EU?	What is the role of Co-Extra?
82	7	82_7	How is food tested for GMO contamination?	How is testing done for contamination?
82	8	82_8	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	What's the difference between the European and US approaches?
82	9	82_9	How does the DNA-based method work for testing GMO contamination.	How does the DNA-based method work?
82	10	82_10	How could Co-Extra improve DNA-based testing for GMO contamination?	How could Co-Extra improve it?
83	1	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?
83	2	83_2	Why doesn't honey spoil?	Why doesn't it spoil?
83	3	83_3	Why are so many bees dying?	Why are so many dying?
83	4	83_4	What can be done to stop bees from dying?	What can be done to stop it?
83	5	83_5	What has happened to bee habitat?	What has happened to their habitat?
83	6	83_6	What can I do to help provide a habitat for bees?	What can I do to help with the problem?
83	7	83_7	What is the cause of colony collapse disorder?	What is the cause of CCD?
83	8	83_8	What would happen if the bees died out?	What would happen if they died out?
84	1	84_1	How does seed investment work for startups?	How does seed investment work for startups?
84	2	84_2	Tell me more about angel investment rounds.	Tell me more about angel rounds.
84	3	84_3	How does an angel investment round compare with crowdfunding?	How does it compare with crowdfunding?
84	4	84_4	How much is a typical A series investment round?	How much is a typical A series round?
84	5	84_5	What are the risks of investing in startups?	What are the risks of investing?
84	6	84_6	What are the different types of instruments used by Venture Capitalists?	What are the different types of instruments used by VCs?
85	1	85_1	How much does a Lamborghini cost?	How much does a used Lamborghini cost?
85	2	85_2	How does a Lamborghini compare to a Ferrari?	How does it compare to a Ferrari?
85	3	85_3	Interesting. How much does a pimped-out food truck cost?	Interesting. What about for a pimped-out food truck?
85	4	85_4	What licenses and permits are needed for a food truck?	What licenses and permits are needed?
85	5	85_5	What makes a good food truck location?	What makes a good location?
85	6	85_6	What is a typical day like running a food truck?	What is a typical day like?
85	7	85_7	How can I run a successful food truck?	How can I run it successfully?
85	8	85_8	What are some good examples of successful food trucks to learn from?	What are some good examples to learn from?
85	9	85_9	Besides inventive flavors, what made Kogi successful?	Besides inventive flavors, what made it successful?
86	1	86_1	What is the climate like in Utah?	What is the climate like in Utah?
86	2	86_2	How does the climate of Salt Lake City differ from Utah overall?	How does Salt Lake City differ?
86	3	86_3	What is the main economic activity of Salt Lake City?	What is its main economic activity?
86	4	86_4	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	What was the impact of the 2002 games?
86	5	86_5	What were important ski locations used in the 2002 olympic winter games?	What were important ski locations used?
86	6	86_6	What are the important non-ski events that happen in Salt Lake City?	What are the important non-ski events that happen in the city?
86	7	86_7	What are some popular non-winter things to do in the Salt Lake City area?	What about some popular non-winter things to do in the area?
87	1	87_1	What are the different types of orange trees?	What are the different types of orange trees?
87	2	87_2	How can you tell different types of orange trees apart?	How can you tell them apart?
87	3	87_3	What type of orange tree has thorns?	What type has thorns?
87	4	87_4	Where do orange trees originally come from?	Where do they originally come from?
87	5	87_5	Tell me about the Hamlin orange variety.	Tell me about the Hamlin variety.
87	6	87_6	Why did the Hamlin orange replace the Parson Brown variety?	Why did it replace PB?
87	7	87_7	What are the different types of navel oranges?	What are the different types of navels?
87	8	87_8	Which type of navel orange is the most delicious?	Which is the most delicious?
87	9	87_9	How do cara cara oranges compare with blood oranges?	How do they compare with blood oranges?
88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
88	2	88_2	What was the role of slavery in the labor system of the Ottoman Empire?	What was the role of slavery?
88	3	88_3	How did the Ottoman Empire govern?	How did it govern?
88	4	88_4	Why was the Ottoman Empire important?	Why was it important?
88	5	88_5	What was the culture like in the Ottoman Empire?	What was the culture like?
88	6	88_6	What was the role of storytellers in the culture of the Ottoman Empire?	What was the role of storytellers?
88	7	88_7	What were popular stories told by meddahs in the Ottoman Empire?	What were popular stories?
88	8	88_8	What was the importance of the confessional millet system to the Ottoman Empire?	What was the importance of the millet?
88	9	88_9	Why did the British continue the confessional millet system from the Ottoman Empire?	Why did the British continue it?
88	10	88_10	What is the historical importance of the confessional millet system in the development of national identities?	What is its historical importance in developing national identities?
89	1	89_1	What is the relationship between predator and prey?	What is the relationship between predator and prey?
89	2	89_2	What do predator plants eat?	What do predator plants eat?
89	3	89_3	What do Venus flytraps eat?	What about Venus flytraps in particular?
89	4	89_4	Where is the Venus flytrap native to?	Where is it native to?
89	5	89_5	How do Venus flytraps attract and catch their prey?	How do they attract and catch their prey?
89	6	89_6	What other carnivorous plants are native to North and South Carolina?	What are other similar plants from its native area?
89	7	89_7	How do populations of predators and prey relate?	How do populations of predators and prey relate?
89	8	89_8	Why would the roles of predator and prey reverse?	Why would the roles reverse?
89	9	89_9	How do predators and prey influence biodiversity?	How does the relationship influence biodiversity?
89	10	89_10	What are examples of apex predators?	What are examples of these predators?
89	11	89_11	Why would humans be considered apex predators?	Why would humans be considered one?
90	1	90_1	Which is the biggest commercial plane?	Which is the biggest commercial plane?
90	2	90_2	What are the operational costs of the Airbus A380?	What are its operational costs?
90	3	90_3	How does the Airbus A380 fuel consumption compare to its competitors?	How does its fuel consumption compare to its competitors?
90	4	90_4	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?	How do the freighter versions compare to each other?
90	5	90_5	Why did the Airbus A380 stop being produced?	Why did the A380 stop being produced?
90	6	90_6	What was Boeing's response to compete with the Airbus A380?	What was Boeing's response to compete with it?
90	7	90_7	What is the newest version of the Boeing 777 and what is better about it?	What is the newest version and what is better about it?
90	8	90_8	What are the differences between the Boeing 777X-8 and 777X-9?	What are the differences between the variants?
91	1	91_1	What is the purpose of the General Data Protection Regulation (GDPR)?	What is the purpose of GDPR?
91	2	91_2	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?	What is different compared to previous legislation?
91	3	91_3	What are the privacy implications of social networks and cloud computing?	What are the privacy implications of those technologies?
91	4	91_4	Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?	Oh, IP addresses are considered PII? What is the full range of personal data?
91	5	91_5	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?	How do big companies adapt to GDPR?
91	6	91_6	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.
91	7	91_7	What do users of social networks get in return for by giving up their privacy?	What do they get in return for their privacy?
91	8	91_8	What are the symptoms of social network addiction?	What are the symptoms of that addiction?
92	1	92_1	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
92	2	92_2	Tell me more about some shoulder exercises that could help recovery from an injury.	Tell me more about some exercises that could help.
92	3	92_3	What are other exercises besides Pendulum circles for shoulder injuries?	What are some others?
92	4	92_4	How do I know if my shoulder pain is serious?	How do I know if it's serious?
92	5	92_5	When should you consider shoulder surgery?	When should you consider surgery?
92	6	92_6	That seems extreme. What are other ways to treat shoulder pain?	That seems extreme. What are other ways to treat the pain?
92	7	92_7	How do I stop my shoulder from hurting at my desk?	How do I stop it from hurting at my desk?
92	8	92_8	What are the benefits of a standing desk for shoulder pain?	What are the benefits of a standing one?
93	1	93_1	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.
93	2	93_2	No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.	No, not information about its acquisition. I want to know how to open a franchise.
93	3	93_3	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?	Is there any financial support for the fee?
93	4	93_4	How much does a Burger King franchise owner typically make?	How much does an owner typically make?
93	5	93_5	Is it better to be a Burger King franchisee or an independent restaurant owner?	Is it better to be a franchise or independent?
93	6	93_6	What support does the franchise provide?	What support does it provide?
93	7	93_7	OK let's do it. What is the process of buying a Burger King franchise?	OK let's do it. What is the process?
94	1	94_1	How did snowboarding begin?	How did snowboarding begin?
94	2	94_2	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?	Interesting. That's later than I expected. Who were the winners?
94	3	94_3	What are strap-in snowboard bindings?	What are strap-in bindings?
94	4	94_4	What's an alternative to the strap-in binding style for snowboarding?	What's an alternative to this binding style?
94	5	94_5	What else besides bindings do I need for my first time snowboarding?	What else do I need for my first time?
94	6	94_6	How can I teach myself to get started snowboarding?	How can I teach myself to get started?
94	7	94_7	What are the best snowboarding slopes for beginners around Seattle?	What are the best slopes in Seattle?
94	8	94_8	What are other things to do at Mount Bachelor Ski & Sports	What are other things to do at Bachelor?
95	1	95_1	How are waste and garbage processed?	How are waste and garbage processed?
95	2	95_2	Interesting. What is the impact of burning waste and garbage on the environment?	Interesting. What is the impact of burning on the environment?
