conversation_id	turn_id	id	query	original
31	1	31_1	What is throat cancer?	What is throat cancer?
31	2	31_2	Is it treatable? throat cancer	Is it treatable?
31	3	31_3	Tell me about lung cancer.	Tell me about lung cancer.
31	4	31_4	What are its symptoms?  lung cancer	What are its symptoms? 
31	5	31_5	Can it spread to the throat? lung cancer	Can it spread to the throat?
31	6	31_6	What causes throat cancer?	What causes throat cancer?
31	7	31_7	What is the first sign of it? throat cancer	What is the first sign of it?
31	8	31_8	Is it the same as esophageal cancer? throat	Is it the same as esophageal cancer?
31	9	31_9	What's the difference in their symptoms? throat cancer esophageal	What's the difference in their symptoms?
32	1	32_1	What are the different types of sharks?	What are the different types of sharks?
32	2	32_2	Are sharks endangered?  If so, which species?	Are sharks endangered?  If so, which species?
32	3	32_3	Tell me more about tiger sharks.	Tell me more about tiger sharks.
32	4	32_4	What is the largest ever to have lived on Earth? sharks	What is the largest ever to have lived on Earth?
32	5	32_5	What's the biggest ever caught? sharks	What's the biggest ever caught?
32	6	32_6	What about for great whites? caught lived sharks earth largest	What about for great whites?
32	7	32_7	Tell me about makos. sharks	Tell me about makos.
32	8	32_8	What are their adaptations? sharks makos	What are their adaptations?
32	9	32_9	Where do they live? sharks	Where do they live?
32	10	32_10	What do they eat? sharks	What do they eat?
32	11	32_11	How do they compare with tigers for being dangerous? sharks	How do they compare with tigers for being dangerous?
33	1	33_1	Tell me about the Neverending Story film.	Tell me about the Neverending Story film.
33	2	33_2	What is it about? story film	What is it about?
33	3	33_3	How was it received? story film neverending	How was it received?
33	4	33_4	Did it win any awards? story film neverending	Did it win any awards?
33	5	33_5	Was it a book first? story film neverending	Was it a book first?
33	6	33_6	Who was the author and when what it published? story film neverending	Who was the author and when what it published?
33	7	33_7	What are the main themes? story film neverending	What are the main themes?
33	8	33_8	Who are the main characters? story film neverending	Who are the main characters?
33	9	33_9	What are the differences between the book and movies? story neverending	What are the differences between the book and movies?
33	10	33_10	Did the horse Artax really die? story neverending	Did the horse Artax really die?
34	1	34_1	Tell me about the Bronze Age collapse.	Tell me about the Bronze Age collapse.
34	2	34_2	What is the evidence for it? age collapse bronze	What is the evidence for it?
34	3	34_3	What are some of the possible causes? age collapse bronze	What are some of the possible causes?
34	4	34_4	Who were the Sea Peoples?	Who were the Sea Peoples?
34	5	34_5	What was their role in it? peoples collapse age bronze sea	What was their role in it?
34	6	34_6	What other factors led to a breakdown of trade? age collapse bronze	What other factors led to a breakdown of trade?
34	7	34_7	What about environmental factors? led trade collapse breakdown age bronze	What about environmental factors?
34	8	34_8	What empires survived? trade collapse breakdown age bronze	What empires survived?
34	9	34_9	What came after it? trade collapse breakdown age bronze	What came after it?
35	1	35_1	Tell me about the history of toilets.	Tell me about the history of toilets.
35	2	35_2	Where does the term come from? toilets	Where does the term come from?
35	3	35_3	Where and when was the first invented? toilets	Where and when was the first invented?
35	4	35_4	Why do the Brits call it a loo? toilets	Why do the Brits call it a loo?
35	5	35_5	What came before them? toilets	What came before them?
35	6	35_6	When did indoor versions become common? toilets	When did indoor versions become common?
35	7	35_7	How many types are there? toilets	How many types are there?
35	8	35_8	Why are they so important for society? toilets	Why are they so important for society?
35	9	35_9	What is their role in film? toilets	What is their role in film?
36	1	36_1	What is the US Electoral College?	What is the US Electoral College?
36	2	36_2	How does it work? electoral college	How does it work?
36	3	36_3	Tell me about its creation. electoral college	Tell me about its creation.
36	4	36_4	Why was the system chosen? electoral college	Why was the system chosen?
36	5	36_5	How has it changed over time? electoral college	How has it changed over time?
36	6	36_6	What if the electors don't vote for the pledged candidate?	What if the electors don't vote for the pledged candidate?
36	7	36_7	How has this changed election outcomes? pledged electors candidate vote	How has this changed election outcomes?
36	8	36_8	Who are the Hamilton Electors and what were they trying to do?	Who are the Hamilton Electors and what were they trying to do?
36	9	36_9	How would the College be abolished? electoral	How would the College be abolished?
36	10	36_10	How does the National Popular Vote Interstate Compact work?	How does the National Popular Vote Interstate Compact work?
36	11	36_11	Is it legal? national compact popular vote interstate	Is it legal?
37	1	37_1	What was the Stanford Experiment?	What was the Stanford Experiment?
37	2	37_2	What did it show? stanford experiment	What did it show?
37	3	37_3	Tell me about the author of the experiment. stanford	Tell me about the author of the experiment.
37	4	37_4	Was it ethical? stanford experiment	Was it ethical?
37	5	37_5	What are other similar experiments? stanford	What are other similar experiments?
37	6	37_6	What happened in the Milgram experiment?	What happened in the Milgram experiment?
37	7	37_7	Why was it important? milgram experiment experiments	Why was it important?
37	8	37_8	What were the similarities and differences between the studies? milgram stanford experiments experiment	What were the similarities and differences between the studies?
37	9	37_9	What about the BBC experiment?	What about the BBC experiment?
37	10	37_10	What are the key findings? bbc experiment experiments	What are the key findings?
37	11	37_11	How did the results differ? stanford milgram experiment experiments bbc	How did the results differ?
37	12	37_12	Why was it ended? bbc experiment experiments	Why was it ended?
38	1	38_1	What is Lyme disease?	What is Lyme disease?
38	2	38_2	How do you get Lyme Disease?	How do you get Lyme Disease?
38	3	38_3	How does it make you feel? disease lyme	How does it make you feel?
38	4	38_4	What happens if it goes untreated? disease lyme	What happens if it goes untreated?
38	5	38_5	Can it kill you? disease lyme	Can it kill you?
38	6	38_6	How reliable is the test? disease lyme	How reliable is the test?
38	7	38_7	Can it be cured? disease lyme	Can it be cured?
38	8	38_8	What is Chronic Lyme?	What is Chronic Lyme?
39	1	39_1	What does it mean to be a vegan?	What does it mean to be a vegan?
