conversation_id	turn_id	id	query	original
81	1	81_1	How do you know when your garage door opener is going bad	How do you know when your garage door opener is going bad?
81	2	81_2	Now the garage door opener stopped working light	Now it stopped working. Why?
81	3	81_3	How much does it cost for someone to fix a garage door opener	How much does it cost for someone to fix it?
81	4	81_4	How do you replace the garage door opener	How about replacing it instead?
81	5	81_5	How do I choose a new garage door opener	How do I choose a new one?
81	6	81_6	What does a smart one do door garage openers	What does a smart one do?
81	7	81_7	What's important for me to know about the safety of LiftMaster Model 3240 door opener garage liftmaster.com	What's important for me to know about their safety?
81	8	81_8	How could garage door opener be hacked	How could they be hacked?
82	1	82_1	I would like to learn about GMO Food labeling	I would like to learn about GMO Food labeling.
82	2	82_2	What are the pros and cons of GMO food labeling autoplay	What are the pros and cons?
82	3	82_3	And what about the cons of GMO food labeling	And what about the cons?
82	4	82_4	What are the EU rules for GMO food labeling	What are the EU rules?
82	5	82_5	Tell me more about traceability tools gm gmo	Tell me more about traceability tools.
82	6	82_6	What is the role of Co	What is the role of Co-Extra?
82	7	82_7	How is testing for contamination of GMO food done gm gmos	How is testing done for contamination?
82	8	82_8	What's the difference between the European and US approaches to GMO food labeling	What's the difference between the European and US approaches?
82	9	82_9	How does the DNA-based method work	How does the DNA-based method work?
82	10	82_10	How could Co-Extra improve the DNA-based method based dna	How could Co-Extra improve it?
83	1	83_1	What are some interesting facts about bees	What are some interesting facts about bees?
83	2	83_2	Why doesn't honey spoil bees honeybees	Why doesn't it spoil?
83	3	83_3	Why are so many dying in honey bees	Why are so many dying?
83	4	83_4	What can be done to stop the beekeeping industry in America bees dying	What can be done to stop it?
83	5	83_5	What has happened to the bee population beeas	What has happened to their habitat?
83	6	83_6	What can I do to help with the problem of a Honey Bee	What can I do to help with the problem?
83	7	83_7	What is the cause of CCD	What is the cause of CCD?
83	8	83_8	What would happen if bees died out	What would happen if they died out?
84	1	84_1	How does seed investment work for startups	How does seed investment work for startups?
84	2	84_2	Tell me more about angel rounds seed	Tell me more about angel rounds.
84	3	84_3	How does angel rounds compare with crowdfunding	How does it compare with crowdfunding?
84	4	84_4	How much is a typical angel round	How much is a typical A series round?
84	5	84_5	What are the risks of investing in angel rounds opengov	What are the risks of investing?
84	6	84_6	What are the different types of angel investors' instruments	What are the different types of instruments used by VCs?
85	1	85_1	How much does a used Lamborghini cost	How much does a used Lamborghini cost?
85	2	85_2	How does a Lamborghini compare to a Ferrari	How does it compare to a Ferrari?
85	3	85_3	Interesting. What about for a pimped-out food truck	Interesting. What about for a pimped-out food truck?
85	4	85_4	What licenses and permits are needed for food trucks	What licenses and permits are needed?
85	5	85_5	What makes a good location for a food truck	What makes a good location?
85	6	85_6	What is a typical day like for Nashville biscuit makers Karl and Sarah Worley	What is a typical day like?
85	7	85_7	How can I run the Huracan, gallardo successfully lamborghini	How can I run it successfully?
85	8	85_8	What are some good examples of food truck running to restaurants	What are some good examples to learn from?
85	9	85_9	Besides inventive flavors, what made the Korean–Mexican fusion truck  Kogi Korean BBQ  successful food	Besides inventive flavors, what made it successful?
